ZIP_Code,City,State,Median_Home_Value,Home_Value_Change_1Y,Median_Income,Unemployment_Rate,Crime_Rate_per_1k,Risk_Label
42606,Atlanta,FL,633384,-1.8,138546,2.1,7.7,Risky
21534,Seattle,CA,591471,-1.7,164409,8.1,1.1,Risky
50397,Seattle,CA,1746397,2.9,43740,8.8,1.5,Safe
11016,Austin,WA,1110405,2.1,59105,3.8,3.4,Safe
99789,SF,WA,2049803,-1.8,160714,2.0,11.0,Risky
65591,Atlanta,IL,2419724,-0.1,130358,9.1,8.2,Risky
99812,Austin,GA,384026,-4.2,68519,3.1,9.9,Risky
33247,Chicago,CO,1562431,3.3,90712,5.2,9.4,Risky
34300,SF,CO,1517480,-2.3,98328,4.9,11.8,Risky
84065,Denver,TX,2357694,3.9,179759,3.3,11.5,Risky
92798,Denver,GA,2104268,1.0,169993,6.8,1.7,Safe
19268,Austin,GA,2492671,0.7,135616,9.3,1.2,Safe
96807,Chicago,GA,777632,-3.4,104949,6.1,6.5,Risky
22185,LA,CA,1499996,-4.3,63892,9.8,4.0,Risky
73704,LA,GA,2363386,0.5,41082,3.5,6.6,Risky
96779,Denver,TX,2142667,-0.3,91905,8.8,2.0,Risky
49099,Miami,CA,1746470,-3.8,135106,4.1,11.0,Risky
18571,Houston,TX,1571264,3.4,179807,4.0,9.5,Risky
48044,Houston,CA,2258553,-0.8,51255,2.9,7.1,Risky
61214,Miami,CO,1469555,-2.4,145137,8.9,6.1,Risky
71228,Austin,NY,2152598,2.9,100515,7.8,6.2,Risky
58984,Houston,NY,2359742,4.1,127010,4.7,7.8,Risky
50774,Houston,CO,1364583,-1.9,74918,4.8,7.0,Risky
12568,SF,NY,285534,2.8,46103,8.8,6.3,Risky
72592,SF,NY,1013878,1.5,122803,9.4,8.5,Risky
77563,Miami,CO,1539064,4.9,94390,6.8,9.4,Risky
12695,Atlanta,CA,2100896,-3.0,89158,5.3,8.1,Risky
58190,Chicago,GA,947981,4.6,98889,2.4,5.3,Safe
15258,Austin,CO,2153969,-1.8,102267,3.0,5.6,Risky
97538,SF,IL,1017266,-0.9,170606,3.1,2.1,Risky
49504,SF,WA,1935901,-1.4,175263,4.2,5.6,Risky
43159,LA,FL,748255,-2.3,176695,4.1,9.6,Risky
23986,Chicago,IL,1504980,1.9,42293,6.3,1.7,Safe
71858,LA,NY,913317,0.9,132703,9.6,2.9,Safe
22666,Atlanta,GA,1162189,-1.9,142729,8.9,10.3,Risky
48660,Chicago,TX,2145932,-3.7,75992,6.1,7.2,Risky
13561,Houston,GA,1285735,-1.8,123160,2.1,8.4,Risky
36854,LA,TX,1577493,-1.2,55848,2.5,4.5,Risky
74505,Denver,IL,1167241,-1.2,101173,8.9,6.4,Risky
62251,Austin,GA,730856,-1.4,152911,4.3,9.4,Risky
32662,Houston,GA,1903620,-4.5,178589,4.5,10.6,Risky
18392,Chicago,FL,391766,-0.4,70980,3.1,11.7,Risky
40535,Denver,CO,1506554,3.4,48455,3.8,10.4,Risky
88603,Atlanta,IL,1190565,-3.2,46944,4.0,1.7,Risky
62256,Denver,GA,1620492,-3.5,104627,5.3,4.8,Risky
99135,SF,TX,1693027,-0.3,104723,7.0,9.2,Risky
45222,Miami,WA,171637,-1.3,40858,4.8,5.6,Risky
87373,Denver,GA,858618,0.6,77011,5.6,5.8,Safe
89575,Seattle,TX,355972,4.5,136054,3.5,9.7,Risky
94651,Atlanta,NY,2170337,2.6,55437,2.5,10.2,Risky
73335,Houston,GA,1646376,1.9,65550,4.8,9.7,Risky
20965,LA,TX,1968554,-0.8,68929,2.5,4.9,Risky
34538,NYC,WA,1283123,-2.1,172091,4.4,3.5,Risky
80592,Atlanta,IL,694547,0.4,64284,8.7,4.9,Safe
18110,Seattle,NY,1241965,3.9,117350,4.9,8.7,Risky
89309,SF,GA,427461,3.8,150839,3.5,5.0,Safe
37266,LA,FL,1869053,-0.5,154680,9.2,1.6,Risky
62992,Austin,TX,1531781,-2.5,115640,7.1,9.8,Risky
92948,NYC,WA,353154,-2.7,110909,9.9,1.7,Risky
16910,Denver,FL,1017174,-4.7,72371,4.4,12.0,Risky
10206,Seattle,GA,1134501,3.4,53234,3.6,10.5,Risky
97054,Denver,TX,1342242,-2.4,103172,4.4,11.5,Risky
97897,Austin,GA,838880,-1.4,177429,8.5,10.2,Risky
33419,Atlanta,NY,1109268,3.1,61595,3.2,2.1,Safe
60636,Miami,WA,1321905,-3.8,85599,3.9,5.6,Risky
60015,Seattle,WA,310582,-0.4,178844,7.6,11.0,Risky
64268,Chicago,NY,739327,-3.8,93890,7.9,2.0,Risky
97939,Houston,GA,1093663,-0.6,142205,9.7,4.4,Risky
28141,Chicago,GA,1220581,-4.5,68684,9.8,6.1,Risky
90356,Miami,CA,209009,0.2,99924,7.3,5.9,Safe
81910,Austin,GA,1741566,3.0,51708,4.9,11.4,Risky
66044,Chicago,WA,2264897,1.8,47670,5.6,5.3,Safe
77214,SF,GA,2348474,0.1,110470,5.5,3.6,Safe
43827,Seattle,FL,976899,3.3,42666,5.1,5.9,Safe
65820,SF,FL,2309007,-2.7,107989,4.7,5.4,Risky
72623,NYC,NY,2143817,3.3,168639,3.3,7.9,Risky
91734,Miami,FL,1573097,-2.2,156255,4.9,11.9,Risky
85450,NYC,GA,820678,-1.4,42473,9.8,7.1,Risky
32299,NYC,IL,1868173,-3.7,81214,9.1,6.1,Risky
53585,NYC,CO,1755974,-4.0,145346,6.9,7.5,Risky
74044,Atlanta,GA,1332010,4.3,134373,3.5,11.8,Risky
52557,Atlanta,CO,503312,-3.1,56806,9.0,7.9,Risky
59080,Miami,WA,352138,-1.7,86292,4.5,2.4,Risky
12693,LA,CA,2272916,0.3,69228,6.4,11.0,Risky
79163,Chicago,TX,1589173,-1.5,87986,9.3,7.5,Risky
35939,Atlanta,WA,315555,3.7,136780,4.7,2.7,Safe
58925,Denver,CO,2148269,4.0,171626,9.3,3.5,Safe
52941,SF,NY,1187963,-1.7,89158,3.9,2.3,Risky
31834,Atlanta,FL,1223231,-4.1,123685,9.4,11.6,Risky
28047,Austin,IL,1730271,-2.9,166123,4.9,1.8,Risky
36105,NYC,WA,1456815,-0.3,67749,5.0,9.4,Risky
85766,Atlanta,TX,203748,-2.1,152195,6.4,4.7,Risky
25707,Miami,IL,2447915,-0.5,90809,4.8,1.9,Risky
31976,SF,NY,1939196,2.6,104076,5.6,5.8,Safe
54262,SF,FL,965028,-0.8,178535,6.0,1.0,Risky
33776,LA,CA,2124233,-3.0,164108,5.9,10.0,Risky
40080,Houston,CO,765593,-1.4,155178,9.7,7.0,Risky
76842,Houston,WA,365232,2.4,114045,4.3,6.0,Safe
71373,Chicago,WA,2460942,-0.8,135402,4.3,10.1,Risky
16776,Denver,WA,1292775,-2.5,118041,8.7,6.7,Risky
65016,Seattle,CO,1836551,-0.7,64466,5.1,7.5,Risky
19474,Miami,NY,901885,-0.5,147712,2.6,10.0,Risky
68053,Austin,IL,1099951,-2.0,163212,5.9,8.9,Risky
31959,Atlanta,IL,558216,5.0,78867,6.4,8.2,Risky
15530,Miami,NY,1493807,2.7,154361,6.9,8.7,Risky
13748,Denver,WA,1997001,1.9,140567,3.9,3.9,Safe
23545,Houston,GA,284834,3.5,139370,9.8,2.3,Safe
76199,Miami,NY,312886,1.7,94896,7.9,7.8,Risky
44766,Atlanta,FL,357493,2.9,42790,7.8,3.5,Safe
83530,LA,FL,2283544,-0.9,145383,9.0,1.5,Risky
71087,Chicago,CA,1826124,0.0,84449,2.2,3.8,Safe
78840,LA,NY,2263171,-4.5,123593,6.9,8.9,Risky
64384,Houston,TX,1673315,-2.2,150464,8.5,8.8,Risky
61005,NYC,CO,1021573,-1.3,128562,2.3,10.9,Risky
56576,Houston,CO,1999282,1.3,138652,8.0,8.4,Risky
49353,Chicago,FL,1293034,-0.4,103720,9.9,5.8,Risky
72003,Atlanta,FL,380301,1.1,60517,6.7,3.9,Safe
93211,Denver,FL,2153622,2.1,122131,5.4,9.3,Risky
62733,Seattle,GA,174726,-4.6,119497,5.6,5.5,Risky
75318,LA,TX,730004,-2.4,102430,7.4,10.0,Risky
99474,Houston,WA,2150065,-3.3,170329,6.6,10.4,Risky
33664,Denver,WA,2107437,-3.1,69456,8.3,4.9,Risky
77172,LA,NY,2343153,0.0,158788,5.4,4.8,Safe
95616,Houston,GA,1777500,2.4,105346,5.3,11.0,Risky
36736,Chicago,FL,370057,-2.3,53930,8.0,5.4,Risky
10854,LA,WA,568747,3.2,72915,7.2,8.8,Risky
48623,Houston,TX,233018,3.9,68040,8.2,5.2,Safe
17392,Atlanta,WA,2429943,-1.5,113390,9.1,9.0,Risky
65680,Chicago,CO,1346578,1.8,162871,4.1,2.9,Safe
56717,Denver,TX,213388,-3.8,100665,4.5,10.2,Risky
97092,Denver,GA,167957,2.4,161832,6.2,11.8,Risky
60859,Seattle,WA,447983,-3.3,101324,9.4,9.4,Risky
36309,Miami,FL,2434558,1.9,134855,8.7,5.0,Safe
97455,NYC,GA,779864,-0.8,156158,5.7,7.1,Risky
73734,Atlanta,CO,307588,4.3,173669,6.6,8.4,Risky
80467,Chicago,IL,888276,-0.4,100697,7.7,3.1,Risky
62662,LA,FL,839783,-4.7,41302,6.2,4.1,Risky
22688,Denver,GA,643737,-0.2,117790,2.8,9.8,Risky
35342,Atlanta,NY,1923699,3.0,47484,4.8,11.4,Risky
47157,Chicago,WA,749586,1.5,158957,2.4,4.0,Safe
77863,Chicago,FL,1883331,4.7,98627,7.4,2.6,Safe
62083,LA,CA,946572,3.4,174428,4.7,11.8,Risky
75733,Chicago,FL,387506,0.3,57451,7.9,4.5,Safe
99045,Austin,IL,783303,-2.9,43074,5.4,9.6,Risky
44698,Atlanta,GA,462895,-5.0,91642,2.4,5.2,Risky
90623,Houston,CO,332505,4.8,158452,5.0,11.4,Risky
32671,Denver,CA,319683,4.4,160709,3.7,7.6,Risky
35184,Denver,IL,1439455,-2.3,67654,3.7,5.6,Risky
52107,Houston,NY,239082,1.4,54189,5.0,3.0,Safe
96202,Atlanta,CO,189359,2.3,95107,9.8,3.8,Safe
61663,NYC,CO,1623728,0.8,96020,9.7,10.4,Risky
25708,Atlanta,FL,927159,3.4,42560,8.4,1.6,Safe
59811,SF,WA,114787,-4.2,64652,4.0,2.7,Risky
12811,Chicago,CA,479854,4.0,92266,8.1,3.1,Safe
66250,Miami,WA,1260065,-1.1,166108,2.1,1.8,Risky
82082,LA,CO,244375,-0.2,103318,2.5,8.5,Risky
44754,Austin,GA,297874,-0.6,160392,8.7,11.8,Risky
21411,Miami,GA,198782,0.3,106548,6.5,2.5,Safe
12911,Houston,NY,415592,1.0,142589,5.0,9.8,Risky
77270,LA,IL,892500,2.1,153280,7.9,2.9,Safe
93763,LA,CA,2316114,0.2,173397,2.9,11.7,Risky
18680,LA,NY,637028,1.8,96109,4.3,6.6,Risky
94896,Denver,IL,1499053,-1.6,131837,7.8,10.3,Risky
93879,Austin,TX,763151,4.4,137942,3.7,2.9,Safe
81295,Denver,TX,800408,-4.4,95845,6.8,10.7,Risky
98614,Chicago,IL,2103521,0.5,116955,5.6,1.9,Safe
21111,SF,GA,1411057,-4.1,124314,3.6,1.3,Risky
47504,Seattle,GA,584188,-0.6,142825,9.1,8.8,Risky
11802,Austin,TX,680340,-2.4,134845,5.5,2.2,Risky
18155,Miami,CO,855667,4.4,109727,6.8,10.5,Risky
83656,Chicago,GA,625759,-4.9,96582,4.0,7.8,Risky
49384,Atlanta,WA,1663207,-1.1,96045,4.8,4.6,Risky
57254,Houston,CO,675482,2.8,128999,2.4,4.1,Safe
31918,SF,GA,1110736,-3.1,61755,5.9,1.9,Risky
95981,Chicago,IL,565241,3.2,176524,4.8,8.6,Risky
70713,Atlanta,FL,1337693,3.6,113129,4.6,11.1,Risky
40306,SF,IL,2316228,2.1,138815,9.1,9.3,Risky
26646,Atlanta,GA,1996096,-2.9,126044,7.6,7.8,Risky
56843,Austin,IL,568117,-2.3,117539,5.7,2.3,Risky
26371,Atlanta,CA,2464960,-3.3,142941,3.6,10.1,Risky
87371,SF,TX,188859,-3.2,167602,9.8,11.6,Risky
12049,Atlanta,FL,1268381,-4.6,152603,2.6,3.9,Risky
41616,Miami,CO,498595,3.6,52215,3.1,5.6,Safe
30932,Chicago,CO,2133740,0.3,69859,4.2,1.2,Safe
39855,SF,CA,236063,-1.7,100585,9.6,10.2,Risky
71434,Miami,CA,1614122,-2.1,110655,4.2,1.2,Risky
82694,Atlanta,GA,2051142,0.4,158019,5.9,6.4,Risky
53016,Atlanta,GA,1769513,-1.7,75076,8.1,7.3,Risky
17400,LA,CO,717801,3.6,162698,9.4,1.6,Safe
52642,SF,CA,390503,-2.9,121537,6.8,2.9,Risky
25151,Austin,CA,2314212,3.8,110655,5.1,9.7,Risky
61407,Atlanta,CO,1591094,1.6,106101,9.9,3.8,Safe
76690,Houston,NY,2285211,4.6,80407,2.2,9.0,Risky
14499,Denver,NY,1352383,-4.8,114528,8.7,9.2,Risky
16295,Seattle,WA,1102307,-4.4,90430,4.2,5.5,Risky
69040,Denver,TX,507349,0.0,85701,8.5,1.7,Safe
22183,Austin,CA,2412763,4.1,63575,3.3,1.1,Safe
39299,Chicago,IL,754932,2.3,92656,4.8,6.4,Risky
22874,NYC,FL,1694735,1.2,147487,2.4,1.8,Safe
42711,Houston,NY,1023727,-4.7,54062,3.6,9.0,Risky
15539,NYC,CO,1949205,-1.5,83485,6.8,5.2,Risky
63351,Atlanta,GA,2272075,-1.5,50621,8.1,8.5,Risky
71267,Chicago,CA,726945,0.4,62901,9.3,5.5,Safe
58354,Miami,IL,716726,-2.4,53634,3.0,7.9,Risky
12557,Atlanta,FL,2146455,-2.3,67736,3.1,10.2,Risky
48360,NYC,IL,463053,1.2,105912,9.5,10.7,Risky
92018,Atlanta,WA,462986,4.4,135873,8.1,1.2,Safe
12200,Seattle,IL,441576,1.6,115875,6.3,8.1,Risky
78497,LA,GA,1951206,1.7,98957,5.8,7.2,Risky
56975,Seattle,NY,1641456,4.9,78010,3.3,8.0,Risky
31357,Chicago,IL,1634472,-3.5,108383,5.0,1.6,Risky
87505,Miami,FL,511731,-4.7,51659,5.0,1.8,Risky
12869,Seattle,NY,1517033,2.5,113750,7.2,6.5,Risky
71135,SF,WA,908459,-0.6,157391,6.8,1.6,Risky
60108,Miami,WA,1948800,-0.7,79430,2.5,9.5,Risky
48467,NYC,TX,355519,-2.7,92500,8.8,9.5,Risky
33328,Seattle,GA,2412511,0.1,150265,9.5,2.3,Safe
96831,LA,NY,589775,-0.6,120990,8.2,6.0,Risky
13987,Miami,WA,2048337,-1.5,73144,3.4,7.5,Risky
68871,Atlanta,WA,779025,-0.6,120920,3.4,10.5,Risky
32399,LA,NY,2490422,-1.2,65826,7.8,11.9,Risky
56214,Atlanta,IL,846732,4.4,64004,5.5,1.2,Safe
96416,Seattle,CO,461781,4.8,170868,8.2,6.2,Risky
80271,Houston,FL,227208,3.4,51102,2.6,9.8,Risky
54064,Houston,IL,1128644,4.9,105491,7.7,9.8,Risky
80091,NYC,FL,1856172,-2.3,62869,5.4,7.0,Risky
50818,LA,WA,1343631,3.4,58150,2.2,3.0,Safe
55525,Atlanta,WA,1184731,-0.9,127425,6.4,7.2,Risky
29830,Austin,GA,1114607,2.5,68552,7.6,5.3,Safe
27429,LA,NY,1383053,-3.0,142145,6.2,5.5,Risky
16893,SF,CA,444705,3.1,92396,3.0,4.6,Safe
89909,NYC,WA,225183,-4.2,84623,8.5,2.6,Risky
57333,Denver,FL,1181784,-2.3,56351,4.5,9.1,Risky
13436,Denver,FL,2214674,3.2,74388,9.4,8.8,Risky
84290,Atlanta,CO,793371,2.5,54968,9.3,7.0,Risky
86213,Houston,CO,2101151,0.0,114259,3.6,4.9,Safe
15895,Miami,IL,114040,1.7,80596,5.8,10.0,Risky
29738,SF,IL,1024550,-3.1,153670,3.1,2.8,Risky
40746,Denver,WA,446142,1.7,134168,7.4,5.8,Safe
59377,Atlanta,WA,1384055,-4.9,89544,8.8,8.2,Risky
58404,Atlanta,TX,2283222,3.3,76225,7.2,10.0,Risky
64045,Seattle,FL,790328,0.2,173435,4.1,8.1,Risky
49790,Houston,GA,942013,4.4,129274,2.6,2.3,Safe
15600,LA,NY,2113069,-0.2,164228,2.6,2.1,Risky
50764,Miami,NY,298554,-0.7,67436,6.9,1.6,Risky
84543,Seattle,CO,1783711,-0.5,73085,9.6,7.2,Risky
55714,Denver,NY,151377,-1.4,48896,7.6,3.7,Risky
66835,Miami,FL,1048298,-3.3,53785,7.8,2.8,Risky
83744,NYC,IL,1861739,3.4,158459,4.6,1.9,Safe
66491,Houston,GA,2055799,-1.1,98385,6.7,8.1,Risky
28589,Denver,NY,1030993,0.3,126164,4.5,9.3,Risky
53484,Atlanta,FL,2247709,-4.8,93805,9.2,10.4,Risky
92989,Denver,CA,2127519,-4.4,170672,3.1,7.5,Risky
46212,Austin,WA,384618,1.0,109542,7.1,4.9,Safe
53525,Chicago,TX,839316,3.8,133136,7.8,6.2,Risky
57202,Chicago,TX,1334834,-0.1,151286,7.6,8.0,Risky
42635,Denver,NY,789872,-3.4,152905,4.1,8.8,Risky
73208,Austin,IL,2011719,-3.8,91279,5.9,8.1,Risky
43828,Denver,TX,602070,4.0,159301,7.3,11.6,Risky
28711,Chicago,TX,1518447,2.0,53950,9.4,9.3,Risky
13420,Seattle,CO,101177,4.7,91901,6.0,9.3,Risky
10301,NYC,TX,1673625,-4.2,97587,4.4,10.0,Risky
55236,Chicago,TX,1417178,4.0,88284,5.1,6.1,Risky
76235,NYC,NY,552914,3.5,60038,6.3,3.9,Safe
64240,Atlanta,CO,809226,3.9,87567,9.8,10.0,Risky
75726,NYC,FL,1299758,-4.9,100037,7.0,6.1,Risky
20492,Seattle,GA,2174119,2.4,91522,3.2,7.7,Risky
16102,Austin,GA,1242365,0.5,75371,8.7,5.7,Safe
60336,NYC,IL,2127526,0.7,176819,3.5,5.4,Safe
95314,Miami,FL,1221291,-0.3,141837,2.3,8.4,Risky
36641,LA,WA,1949857,2.4,42966,2.8,8.3,Risky
44584,Chicago,CA,956412,5.0,134776,8.3,4.4,Safe
42745,Austin,GA,1583782,2.1,136447,9.2,3.1,Safe
33093,SF,CA,1620139,1.8,113107,4.1,2.4,Safe
76105,Atlanta,GA,1869033,1.5,59391,6.0,2.3,Safe
61885,LA,CO,700296,2.0,96965,6.8,10.0,Risky
46631,Miami,GA,365245,-1.6,146688,5.3,4.1,Risky
82991,Houston,CO,913422,-1.8,142424,2.5,8.5,Risky
14014,Seattle,CO,1445331,2.8,60581,2.5,4.2,Safe
21093,Denver,IL,1078999,-4.5,143141,5.5,8.3,Risky
28070,LA,TX,196265,2.6,44025,8.4,11.8,Risky
45777,Austin,IL,356146,3.1,167242,2.7,1.7,Safe
66958,Austin,CO,1112075,0.2,77025,3.6,8.2,Risky
92074,Austin,CO,1198463,4.1,147381,4.2,4.1,Safe
20729,Atlanta,GA,210083,-0.3,109489,6.5,1.9,Risky
55017,NYC,FL,936960,-3.2,58678,2.3,1.9,Risky
76320,Chicago,TX,2021647,-1.4,177389,8.9,5.1,Risky
37751,Houston,FL,2279776,4.1,102348,5.8,6.9,Risky
88069,Denver,FL,2004268,4.9,110649,5.9,8.1,Risky
64748,Austin,FL,1517213,-0.8,161493,4.6,7.2,Risky
15801,Denver,TX,2218795,-3.3,102784,3.7,10.9,Risky
29190,SF,FL,1208828,-2.1,93223,4.9,2.7,Risky
59689,Atlanta,TX,241406,0.5,47739,9.3,10.1,Risky
60993,Austin,CA,2296008,0.7,64616,2.8,6.8,Risky
39592,SF,CO,1673416,1.3,128400,2.5,10.5,Risky
20647,Houston,WA,1812759,3.4,125676,2.9,5.7,Safe
18716,Houston,GA,625148,2.1,105283,8.2,6.3,Risky
98891,Chicago,NY,100290,-2.4,136581,2.4,5.6,Risky
97545,Miami,FL,928849,-1.0,150252,4.7,2.1,Risky
99912,Chicago,IL,499086,3.4,55545,5.4,2.6,Safe
80316,NYC,CA,133397,1.3,80176,6.1,6.7,Risky
12368,Denver,IL,205311,-3.3,51602,2.0,6.9,Risky
87575,Seattle,NY,1383895,-1.7,96413,5.9,6.1,Risky
16655,Houston,TX,739450,2.9,63047,3.6,1.1,Safe
80031,Seattle,NY,2163881,-3.3,166160,2.8,6.6,Risky
86429,Atlanta,IL,2004624,1.9,108983,6.3,2.5,Safe
97922,LA,CO,178508,0.6,179348,8.0,7.2,Risky
65766,Austin,CO,167296,-3.5,162520,9.5,4.2,Risky
23403,Atlanta,NY,1357350,1.9,167136,9.3,11.9,Risky
42097,Houston,CO,824294,-3.6,52737,5.2,5.0,Risky
88657,SF,GA,2031169,-1.0,148659,7.6,10.0,Risky
20966,Denver,NY,1851634,-1.9,44457,7.6,3.7,Risky
62921,Seattle,FL,1355699,1.9,170646,5.3,3.1,Safe
59726,Chicago,GA,1863672,2.8,145991,2.8,3.4,Safe
60300,LA,FL,897039,-3.3,53698,5.1,4.7,Risky
32677,Miami,WA,392150,3.1,103011,9.9,10.3,Risky
65609,Atlanta,WA,440698,-4.9,132771,6.4,9.4,Risky
66661,Miami,NY,1879288,0.3,151836,4.7,5.8,Safe
41024,Seattle,GA,1037998,0.2,127747,8.0,3.1,Safe
80313,Seattle,CO,2400591,1.2,135830,7.5,1.5,Safe
63006,Austin,GA,2178064,-2.6,119842,6.6,7.8,Risky
25338,SF,WA,826480,-4.9,137758,7.1,8.8,Risky
78027,SF,NY,791919,-0.5,172996,6.7,7.7,Risky
90135,NYC,CA,1825401,-4.3,173512,9.7,6.5,Risky
29508,Chicago,TX,1654794,3.9,76210,6.1,11.7,Risky
13051,Houston,TX,1683054,-3.3,104904,6.7,1.3,Risky
58747,Houston,TX,2260546,-0.7,70737,5.8,11.9,Risky
97142,Seattle,CO,1613588,-0.7,123127,6.8,4.0,Risky
97235,Atlanta,GA,382701,0.5,98510,9.1,5.2,Safe
64021,Denver,CO,2418677,2.8,111118,4.7,9.3,Risky
76412,Houston,WA,2451099,-0.3,105018,6.0,3.5,Risky
68335,Houston,TX,999648,-4.7,146557,5.6,8.8,Risky
66179,Atlanta,WA,2201768,2.7,179426,5.2,4.7,Safe
42093,Chicago,GA,789123,-4.2,110183,8.6,11.3,Risky
79678,LA,WA,583513,1.4,162090,3.9,2.9,Safe
90738,SF,CA,786230,3.0,89019,6.0,11.2,Risky
49734,Austin,CO,2467217,-2.2,82043,9.4,9.7,Risky
82615,Austin,NY,1452762,-0.5,53539,3.3,2.9,Risky
83523,Austin,WA,1724073,-4.9,154926,2.0,5.3,Risky
27019,Atlanta,WA,1872376,3.0,54419,4.1,2.1,Safe
93613,Austin,NY,340763,2.0,132152,9.4,7.6,Risky
96672,Seattle,GA,1464323,-2.7,116840,2.7,11.6,Risky
83847,NYC,GA,2241529,-1.1,130640,3.1,1.9,Risky
92750,Atlanta,CO,1426503,2.0,146600,4.6,3.8,Safe
